step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
173,0.40972,0.40435,465.19,31.745,39.015,20.709
174,0.51042,0.49239,463.35,33.398,37.306,19.651
175,0.38657,0.38043,501.62,36.012,112.28,21.953
176,0.4919,0.48587,466.38,33.796,119.06,19.573
177,0.46181,0.45652,462.15,32.183,120.62,20.262
178,0.48727,0.49022,476.97,35.008,120.19,20.4
179,0.36227,0.34674,510.0,34.215,116.87,22.96
180,0.47685,0.46304,484.49,34.439,120.05,20.81
181,0.4456,0.44457,480.34,34.477,116.87,21.918
182,0.5081,0.50217,475.22,34.989,39.266,20.76
183,0.39583,0.3913,501.95,34.277,40.164,21.948
184,0.43287,0.43913,487.39,34.31,40.991,19.386
185,0.50694,0.47717,468.49,31.406,40.775,20.798
186,0.38889,0.38043,490.59,34.167,39.522,20.938
187,0.44213,0.43043,481.08,34.634,41.426,21.308
188,0.54514,0.52391,474.53,32.395,40.438,19.491
189,0.40046,0.40217,470.71,34.775,42.183,20.977
190,0.32639,0.30978,515.98,35.123,38.968,19.797
191,0.3912,0.39348,490.05,35.209,46.086,19.945
192,0.47454,0.47391,460.47,32.095,55.299,20.036
193,0.42361,0.425,483.69,35.215,41.428,20.728
194,0.42708,0.40978,475.99,35.127,55.939,21.269
195,0.41667,0.42717,491.06,35.058,41.08,21.009
196,0.48032,0.47826,489.2,34.414,40.572,20.331
197,0.50116,0.48587,469.94,33.483,41.61,21.109
198,0.45255,0.45217,455.72,30.796,41.967,18.789
199,0.54167,0.54674,455.65,31.144,41.214,20.355
200,0.3831,0.38152,500.15,34.171,38.637,21.407
