step,ppo_actor/task_reward/avg,rollout/reward,ppo_actor/seq_len/avg,timeperf/train_step,timeperf/update_weights,timeperf/rollout
166,0.44375,0.45938,492.01,39.569,33.78,0.03106
167,0.50078,0.43516,458.09,34.397,34.195,0.037746
168,0.43437,0.44687,496.91,35.79,34.663,0.031403
169,0.43516,0.37578,507.02,35.929,36.417,0.032478
170,0.45937,0.4625,503.8,35.876,33.975,0.037507
171,0.43516,0.46562,465.16,34.527,33.286,0.043605
172,0.44688,0.44766,492.26,34.619,34.807,0.034622
173,0.37578,0.41172,503.87,34.781,33.726,0.041707
174,0.4625,0.43359,479.34,34.316,34.386,0.04421
175,0.46562,0.40469,475.84,33.961,36.107,0.037954
176,0.44766,0.38828,490.31,35.017,35.602,0.035398
177,0.41172,0.42969,483.38,34.357,35.686,0.041363
178,0.43359,0.42891,497.86,35.079,34.814,0.040275
179,0.40469,0.44688,499.24,36.578,34.883,0.26798
180,0.38828,0.44766,531.7,41.13,36.012,0.049692
181,0.42969,0.475,502.31,36.966,34.006,0.041527
182,0.42891,0.46562,493.98,41.174,33.86,0.056191
183,0.44688,0.40859,495.08,36.316,36.246,0.037794
184,0.44766,0.45391,483.44,36.466,35.274,0.038115
185,0.475,0.37188,465.37,34.789,35.214,0.037791
186,0.46562,0.42813,496.8,35.1,35.264,0.037845
187,0.40859,0.43516,487.39,34.938,33.682,0.040558
188,0.45391,0.40859,485.37,34.738,34.927,0.046754
189,0.37187,0.4375,487.04,34.686,34.157,0.037651
190,0.42812,0.41172,496.54,35.146,36.095,0.045282
191,0.43516,0.45547,510.66,38.931,33.918,0.027714
192,0.40859,0.44062,504.47,35.621,34.831,0.042577
193,0.4375,0.46328,498.4,37.602,35.279,0.039715
194,0.41172,0.41094,498.56,36.665,35.365,0.040241
195,0.45547,0.46953,482.51,38.769,35.814,0.038782
196,0.44063,0.48047,511.76,38.851,35.853,0.036969
197,0.46328,0.42422,483.55,34.546,33.752,0.03767
198,0.41094,0.42031,498.38,35.158,34.084,0.043089
199,0.46953,0.46953,487.34,34.614,35.285,0.03823
200,0.48047,0.38906,506.09,40.971,34.027,0.030747
